,DATUMVOLEB,OBVOD,CKAND,VSTRANA,JMENO,PRIJMENI,TITULPRED,TITULZA,VEK,POVOLANI,BYDLISTEN,BYDLISTEK,PSTRANA,NSTRANA,PLATNOST,HLASY_K1,PROC_K1,URIZ_PR_K1,ZVOLEN_K1,LOS_K1,HLASY_K2,PROC_K2,URIZ_PR_K2,ZVOLEN_K2,LOS_K2,NAZEV_VS
0,1996-11-16,1,1,7,Igor,Savič,Ing.,,59.0,primátor,Karlovy Vary,554961.0,7.0,7.0,A,4435,17.01,17.006020169485,2,0,9301,38.69,38.6864653523001,0,0,
1,1996-11-16,1,2,2,Josef,Havlíček,Mgr.,,54.0,advokát,Karlovy Vary,554961.0,2.0,2.0,A,503,1.93,1.9287549369224,0,0,0,0.0,0.0,0,0,
2,1996-11-16,1,3,47,Jan,Blažek,Ing.,CSc.,60.0,projektant,Ostrov,555428.0,47.0,47.0,A,3260,12.5,12.500479312857,0,0,0,0.0,0.0,0,0,
3,1996-11-16,1,4,53,Vladimír,Kulhánek,,,57.0,podnikatel,Karlovy Vary,554961.0,53.0,53.0,A,10885,41.74,41.7385635952298,2,0,14741,61.31,61.3135346476998,1,0,
4,1996-11-16,1,5,37,Karel,Masný,MUDr.,,54.0,lékař - neurolog,Karlovy Vary,554961.0,37.0,37.0,A,767,2.94,2.9410636910924,0,0,0,0.0,0.0,0,0,
5,1996-11-16,1,6,13,Petr,Masák,Mgr.,,44.0,ředitel,Karlovy Vary,554961.0,13.0,13.0,A,3007,11.53,11.5303500901108,0,0,0,0.0,0.0,0,0,
6,1996-11-16,1,7,80,Karel,Rada,,,49.0,řídící let. provozu,Karlovy Vary,554961.0,99.0,80.0,A,2275,8.72,8.723493999003,0,0,0,0.0,0.0,0,0,
7,1996-11-16,1,8,88,Jana,Neuberová,,,48.0,soukr. podnikatelka,Dalovice,537918.0,99.0,88.0,A,947,3.63,3.6312742052992,0,0,0,0.0,0.0,0,0,
8,1996-11-16,2,1,53,Josef,Michalský,Ing.,,48.0,ekonom,Chlum Svaté Maří,560375.0,53.0,53.0,A,6926,33.51,33.5139843220749,2,0,9312,44.96,44.963785610816,0,0,
9,1996-11-16,2,2,81,Zdeněk,Most,prom. filosof,,61.0,důchodce,Habartov,560359.0,81.0,81.0,A,630,3.05,3.048485435014,0,0,0,0.0,0.0,0,0,
10,1996-11-16,2,3,1,Pavel,Čáslavský,,,53.0,ředitel ČOI,Praha 2,500089.0,99.0,1.0,A,1362,6.59,6.5905351785541,0,0,0,0.0,0.0,0,0,
11,1996-11-16,2,4,7,Jiří,Vyvadil,JUDr.,,42.0,právník,Praha 10,500224.0,7.0,7.0,A,5586,27.03,27.0299041904577,2,0,11398,55.04,55.0362143891839,1,0,
12,1996-11-16,2,5,80,Eva,Maršíková,Mgr.,,45.0,ředitelka škol.úřadu,Staré Sedlo,560642.0,99.0,80.0,E,0,0.0,0.0,0,0,0,0.0,0.0,0,0,
13,1996-11-16,2,6,47,Jana,Strnadová,,,59.0,důchodkyně,Březová,560294.0,47.0,47.0,A,2680,12.97,12.9681602632343,0,0,0,0.0,0.0,0,0,
14,1996-11-16,2,7,20,Irena,Nádherná,,,60.0,tajem.okr.rady ČSŽ,Sokolov,560286.0,20.0,20.0,A,903,4.37,4.3694957901867,0,0,0,0.0,0.0,0,0,
15,1996-11-16,2,8,2,Jiří,Dytrych,,,64.0,starosta města,Sokolov,560286.0,99.0,2.0,A,751,3.63,3.6339881931675,0,0,0,0.0,0.0,0,0,
16,1996-11-16,2,9,80,Jan,Hadrava,,,41.0,starosta,Loket,560537.0,99.0,80.0,A,1828,8.85,8.8454466273105,0,0,0,0.0,0.0,0,0,
17,1996-11-16,3,1,80,Jaroslav,Kraus,Ing.,,52.0,systémový inženýr,Cheb,554481.0,99.0,80.0,A,867,3.78,3.7792598404603,0,0,0,0.0,0.0,0,0,
18,1996-11-16,3,2,1,Břetislav,Malásek,,,49.0,podnikatel,Cheb,554481.0,1.0,1.0,A,1379,6.01,6.0110718800401,0,0,0,0.0,0.0,0,0,
19,1996-11-16,3,3,53,Jiří,Gruša,,,58.0,velvyslanec ČR v SRN,Praha,2.0,99.0,53.0,A,8874,38.68,38.6818360141231,2,0,10221,42.19,42.1884674123911,0,0,
20,1996-11-16,3,4,5,Oldřich,Petrlík,Ing.,,58.0,výzkumný pracovník,Aš,554499.0,5.0,5.0,A,441,1.92,1.9223224794036,0,0,0,0.0,0.0,0,0,
21,1996-11-16,3,5,40,Ladislav,Ochozka,,,54.0,úředník,Františkovy Lázně,554529.0,40.0,40.0,A,270,1.18,1.1769321302471,0,0,0,0.0,0.0,0,0,
22,1996-11-16,3,6,47,František,Podlipský,JUDr.,,46.0,starosta,Bor,560758.0,47.0,47.0,A,4922,21.46,21.4550368336166,0,0,0,0.0,0.0,0,0,
23,1996-11-16,3,7,7,Peter,Morávek,,,47.0,místopředseda ČSSD,Cheb,554481.0,7.0,7.0,A,6188,26.97,26.9735408221088,2,0,14006,57.81,57.8115325876088,1,0,
24,1996-11-16,4,1,53,Milan,Konečný,Ing.,,46.0,soukromý podnikatel,Most,567027.0,53.0,53.0,A,9367,39.51,39.5132034084198,2,0,10538,46.77,46.7711153521814,0,0,
